nro_distrito,distrito,latitud,longitud
01,CAPITAL FEDERAL,-34.6144,-58.4464
02,BUENOS AIRES,-36.6765,-60.5589
03,CATAMARCA,-27.3363,-66.9435
04,CORDOBA,-32.1404,-63.7935
05,CORRIENTES,-28.7712,-57.8049
06,CHACO,-26.3887,-60.7658
07,CHUBUT,-43.7876,-68.5259
08,ENTRE RIOS,-32.0583,-59.2013
09,FORMOSA,-24.8906,-59.9363
10,JUJUY,-23.3189,-65.7694
11,LA PAMPA,-37.1311,-65.4475
12,LA RIOJA,-29.6848,-67.1770
13,MENDOZA,-34.6321,-68.5829
14,MISIONES,-26.8702,-54.6525
15,NEUQUEN,-38.6435,-70.1206
16,RIO NEGRO,-40.4049,-67.2302
17,SALTA,-24.2994,-64.8130
18,SAN JUAN,-30.8614,-68.8956
19,SAN LUIS,-33.7507,-66.0345
20,SANTA CRUZ,-48.8165,-69.9589
21,SANTA FE,-30.7062,-60.9507
22,SANTIAGO DEL ESTERO,-27.7734,-63.2559
23,TUCUMAN,-26.9467,-65.3645
24,TIERRA DEL FUEGO,-54.0000,-68.0000
